intervention_id;client_id;type_intervention;date_intervention;duree_heures;statut;technicien_id;commune;cout_intervention_eur;satisfaction_intervention
INT-004874;CLI-094353;Raccordement neuf;2024-07-05;2.77;Terminée;TECH-032;Migné-Auxances;395.54;8.2
INT-004875;CLI-099512;Mise en service;2024-01-25;0.43;Terminée;TECH-029;Poitiers;226.78;5.2
INT-004876;CLI-091544;Contrôle technique;2024-06-04;2.04;Terminée;TECH-015;Poitiers;687.34;4.8
INT-004877;CLI-098482;Raccordement neuf;2022-03-30;2.91;Terminée;TECH-037;Poitiers;317.11;7.9
INT-004878;CLI-090110;Mise en service;2022-10-26;1.11;Terminée;TECH-014;Poitiers;233.79;7.2
INT-004879;CLI-094806;Relève compteur;2024-01-14;0.86;Planifiée;TECH-041;Poitiers;288.59;10.0
INT-004880;CLI-099727;Maintenance préventive;2023-03-24;1.03;Terminée;TECH-014;Poitiers;222.64;7.9
INT-004881;CLI-091024;Modification puissance;2024-08-17;0.68;Terminée;TECH-036;Migné-Auxances;686.95;7.4
INT-004882;CLI-093991;Maintenance préventive;2024-07-29;2.16;Terminée;TECH-041;Buxerolles;508.14;6.4
INT-004883;CLI-094259;Relève compteur;2022-12-01;0.54;Terminée;TECH-044;Chauvigny;174.85;8.8
INT-004884;CLI-087405;Changement compteur;2022-04-18;0.94;Terminée;TECH-007;Poitiers;411.86;6.9
INT-004885;CLI-091804;Rétablissement;2024-11-17;1.58;Terminée;TECH-039;Poitiers;696.14;9.0
INT-004886;CLI-088312;Modification puissance;2022-05-21;1.39;Annulée;TECH-038;Poitiers;696.13;4.9
INT-004887;CLI-098955;Dépannage réseau;2025-02-12;2.32;Planifiée;TECH-042;Poitiers;577.57;7.3
INT-004888;CLI-089562;Changement compteur;2022-04-14;1.9;Terminée;TECH-001;Saint-Benoît;699.3;7.6
INT-004889;CLI-100599;Relève compteur;2023-05-21;0.3;Terminée;TECH-031;Poitiers;332.73;4.5
INT-004890;CLI-086236;Raccordement neuf;2023-03-29;4.85;Annulée;TECH-029;Poitiers;485.49;5.3
INT-004891;CLI-095772;Dépannage réseau;2022-03-10;4.02;Terminée;TECH-043;Châtellerault;167.71;7.6
INT-004892;CLI-100819;Changement compteur;2022-06-12;1.88;Terminée;TECH-016;Buxerolles;745.76;7.6
INT-004893;CLI-094690;Mise en service;2023-08-20;1.21;Annulée;TECH-030;Loudun;593.77;10.0
INT-004894;CLI-093012;Changement compteur;2023-10-12;0.81;Terminée;TECH-001;Châtellerault;380.4;6.1
INT-004895;CLI-087239;Dépannage réseau;2022-11-15;2.18;Terminée;TECH-012;Poitiers;286.4;5.6
INT-004896;CLI-086314;Mise en service;2022-03-27;0.72;Terminée;TECH-021;Poitiers;297.48;8.4
INT-004897;CLI-100475;Dépannage réseau;2025-02-25;3.0;Terminée;TECH-016;Poitiers;755.63;6.7
INT-004898;CLI-092732;Mise en service;2025-02-10;0.32;Annulée;TECH-042;Poitiers;386.49;7.3
INT-004899;CLI-095913;Mise en service;2023-06-04;0.65;Terminée;TECH-025;Poitiers;110.12;6.6
INT-004900;CLI-096515;Rétablissement;2023-08-10;1.44;En cours;TECH-014;Poitiers;372.1;7.1
INT-004901;CLI-098372;Raccordement neuf;2025-02-08;2.98;Terminée;TECH-036;Chauvigny;679.49;6.2
INT-004902;CLI-095191;Mise en service;2022-12-12;0.78;Terminée;TECH-039;Poitiers;93.57;9.8
INT-004903;CLI-096953;Relève compteur;2025-04-05;0.5;Terminée;TECH-009;Poitiers;296.92;2.6
INT-004904;CLI-086199;Dépannage réseau;2022-09-19;5.33;Terminée;TECH-024;Châtellerault;125.08;8.6
INT-004905;CLI-092726;Dépannage réseau;2024-11-03;1.54;Terminée;TECH-031;Poitiers;419.37;7.4
INT-004906;CLI-097812;Mise en service;2024-05-20;1.39;Terminée;TECH-003;Châtellerault;444.29;8.8
INT-004907;CLI-089824;Relève compteur;2023-11-11;0.36;Terminée;TECH-023;Neuville-de-Poitou;759.46;10.0
INT-004908;CLI-100670;Changement compteur;2024-01-06;0.79;Terminée;TECH-040;Poitiers;53.75;6.6
INT-004909;CLI-089595;Changement compteur;2024-08-29;1.04;Terminée;TECH-008;Buxerolles;383.46;3.7
INT-004910;CLI-088254;Mise en service;2025-03-11;1.04;Terminée;TECH-026;Châtellerault;671.67;6.4
INT-004911;CLI-099903;Coupure impayé;2024-01-06;2.99;Terminée;TECH-032;Poitiers;319.43;10.0
INT-004912;CLI-098014;Changement compteur;2022-12-28;1.12;Terminée;TECH-036;Châtellerault;550.55;5.5
INT-004913;CLI-089310;Mise en service;2022-08-06;1.15;Terminée;TECH-044;Poitiers;408.16;8.6
INT-004914;CLI-091571;Mise en service;2022-02-11;0.49;Terminée;TECH-006;Buxerolles;222.51;9.8
INT-004915;CLI-086514;Coupure impayé;2022-02-02;0.27;Terminée;TECH-042;Poitiers;502.74;8.8
INT-004916;CLI-093947;Relève compteur;2022-12-08;0.75;Planifiée;TECH-038;Poitiers;251.99;8.2
INT-004917;CLI-095607;Modification puissance;2022-09-26;0.56;Terminée;TECH-023;Saint-Benoît;523.43;7.3
INT-004918;CLI-094352;Relève compteur;2024-11-28;1.18;Terminée;TECH-025;Poitiers;588.85;6.3
INT-004919;CLI-089530;Contrôle technique;2022-12-26;0.5;Terminée;TECH-044;Poitiers;332.26;9.1
INT-004920;CLI-091497;Mise en service;2025-05-07;1.29;Terminée;TECH-012;Poitiers;489.29;8.1
INT-004921;CLI-098231;Changement compteur;2025-05-06;1.67;Terminée;TECH-002;Châtellerault;127.44;10.0
INT-004922;CLI-090553;Changement compteur;2023-09-09;1.38;Terminée;TECH-033;Poitiers;539.87;7.4
INT-004923;CLI-086240;Modification puissance;2023-01-21;0.68;Terminée;TECH-004;Poitiers;236.82;7.1
INT-004924;CLI-089472;Coupure impayé;2023-06-17;0.71;Terminée;TECH-002;Poitiers;706.63;6.5
INT-004925;CLI-095328;Raccordement neuf;2022-11-09;1.57;Terminée;TECH-016;Châtellerault;635.37;8.1
INT-004926;CLI-100868;Changement compteur;2023-04-15;1.91;Planifiée;TECH-011;Poitiers;175.91;6.4
INT-004927;CLI-092538;Mise en service;2023-09-27;1.47;Terminée;TECH-028;Migné-Auxances;307.44;10.0
INT-004928;CLI-098809;Mise en service;2023-03-12;0.98;Terminée;TECH-001;Poitiers;50.48;7.8
INT-004929;CLI-090275;Relève compteur;2023-10-14;0.54;Terminée;TECH-031;Poitiers;201.39;9.6
INT-004930;CLI-100370;Contrôle technique;2023-03-07;0.72;En cours;TECH-023;Jaunay-Marigny;162.5;10.0
INT-004931;CLI-098520;Mise en service;2024-02-28;1.46;Planifiée;TECH-016;Saint-Benoît;399.79;7.0
INT-004932;CLI-095670;Contrôle technique;2025-05-26;0.26;Terminée;TECH-044;Poitiers;141.97;8.8
INT-004933;CLI-096682;Mise en service;2024-12-25;0.39;Terminée;TECH-022;Châtellerault;45.69;9.2
INT-004934;CLI-092774;Rétablissement;2024-10-30;1.74;Terminée;TECH-018;Chauvigny;230.67;5.7
INT-004935;CLI-087413;Raccordement neuf;2023-10-07;2.7;Annulée;TECH-032;Neuville-de-Poitou;579.44;8.4
INT-004936;CLI-089984;Raccordement neuf;2023-07-04;4.48;Terminée;TECH-028;Châtellerault;57.92;7.3
INT-004937;CLI-097304;Relève compteur;2024-06-19;0.37;Terminée;TECH-044;Montmorillon;291.22;7.5
INT-004938;CLI-088156;Changement compteur;2024-05-03;0.74;Terminée;TECH-008;Loudun;779.24;5.9
INT-004939;CLI-096776;Mise en service;2024-06-27;0.98;Terminée;TECH-010;Poitiers;274.0;10.0
INT-004940;CLI-088846;Relève compteur;2022-10-21;1.15;Terminée;TECH-035;Buxerolles;63.79;5.2
INT-004941;CLI-095535;Contrôle technique;2022-11-14;0.5;Terminée;TECH-038;Montmorillon;122.83;8.0
INT-004942;CLI-093086;Mise en service;2023-01-04;0.63;Terminée;TECH-036;Lusignan;103.23;6.0
INT-004943;CLI-088200;Raccordement neuf;2023-09-22;2.06;Terminée;TECH-015;Poitiers;211.81;5.3
INT-004944;CLI-090202;Dépannage réseau;2024-07-18;5.06;Annulée;TECH-004;Neuville-de-Poitou;623.57;3.3
INT-004945;CLI-097128;Maintenance préventive;2023-09-23;1.05;En cours;TECH-026;Poitiers;756.81;6.0
INT-004946;CLI-097580;Maintenance préventive;2023-08-05;0.65;En cours;TECH-016;Poitiers;383.73;6.9
INT-004947;CLI-092364;Mise en service;2023-06-17;1.17;Terminée;TECH-041;Poitiers;352.92;8.4
INT-004948;CLI-098034;Raccordement neuf;2024-11-01;5.57;Terminée;TECH-012;Lusignan;569.84;4.2
INT-004949;CLI-100392;Contrôle technique;2023-01-19;1.71;Terminée;TECH-006;Poitiers;680.67;10.0
INT-004950;CLI-100399;Relève compteur;2022-09-17;0.91;Annulée;TECH-021;Migné-Auxances;227.35;6.2
INT-004951;CLI-100288;Changement compteur;2023-11-19;2.0;Planifiée;TECH-031;Poitiers;626.11;7.6
INT-004952;CLI-089218;Rétablissement;2022-05-12;0.89;Terminée;TECH-044;Migné-Auxances;93.63;5.6
INT-004953;CLI-098097;Mise en service;2022-02-07;0.34;Terminée;TECH-017;Saint-Benoît;613.47;7.4
INT-004954;CLI-092270;Relève compteur;2023-06-13;0.4;Terminée;TECH-043;Poitiers;741.32;5.5
INT-004955;CLI-090824;Mise en service;2022-01-06;0.38;Terminée;TECH-044;Poitiers;629.16;9.3
INT-004956;CLI-095230;Dépannage réseau;2025-01-27;3.15;Terminée;TECH-015;Vivonne;533.36;6.7
INT-004957;CLI-095215;Mise en service;2024-08-14;1.24;Terminée;TECH-044;Poitiers;165.6;4.8
INT-004958;CLI-089811;Mise en service;2023-09-25;0.56;Terminée;TECH-004;Poitiers;98.22;10.0
INT-004959;CLI-086468;Changement compteur;2023-10-10;1.2;En cours;TECH-041;Poitiers;56.61;10.0
INT-004960;CLI-089488;Contrôle technique;2025-02-09;1.38;Terminée;TECH-002;Poitiers;546.03;7.5
INT-004961;CLI-096019;Coupure impayé;2022-10-31;2.27;Planifiée;TECH-010;Châtellerault;268.38;8.6
INT-004962;CLI-087230;Dépannage réseau;2022-11-29;4.89;Terminée;TECH-028;Saint-Benoît;281.52;9.6
INT-004963;CLI-092590;Mise en service;2024-04-22;1.03;Terminée;TECH-042;Saint-Benoît;554.91;8.2
INT-004964;CLI-093738;Changement compteur;2023-06-08;0.99;Annulée;TECH-003;Migné-Auxances;215.25;10.0
INT-004965;CLI-097747;Changement compteur;2023-07-21;0.79;Terminée;TECH-004;Neuville-de-Poitou;331.69;5.4
INT-004966;CLI-098209;Raccordement neuf;2023-10-05;4.14;Terminée;TECH-038;Poitiers;428.21;6.2
INT-004967;CLI-086696;Relève compteur;2025-01-10;0.44;Terminée;TECH-036;Chauvigny;496.68;7.3
INT-004968;CLI-087057;Relève compteur;2023-03-13;0.9;Terminée;TECH-022;Poitiers;644.07;5.2
INT-004969;CLI-094693;Changement compteur;2024-04-29;1.74;Terminée;TECH-042;Buxerolles;473.37;6.6
INT-004970;CLI-096623;Mise en service;2025-02-02;1.22;Terminée;TECH-024;Poitiers;551.65;7.6
INT-004971;CLI-091954;Contrôle technique;2024-10-03;2.75;Terminée;TECH-023;Poitiers;719.19;10.0
INT-004972;CLI-098920;Modification puissance;2022-05-23;0.26;Terminée;TECH-030;Migné-Auxances;68.45;5.9
INT-004973;CLI-098137;Mise en service;2023-02-15;1.41;Terminée;TECH-041;Montmorillon;166.6;6.1
INT-004974;CLI-098674;Dépannage réseau;2024-04-15;3.39;Terminée;TECH-016;Châtellerault;577.3;9.4
INT-004975;CLI-097720;Relève compteur;2023-11-22;1.31;Terminée;TECH-022;Châtellerault;691.19;6.5
INT-004976;CLI-099087;Contrôle technique;2022-12-26;2.24;Terminée;TECH-005;Châtellerault;140.84;9.8
INT-004977;CLI-093694;Contrôle technique;2024-12-22;2.56;Terminée;TECH-002;Poitiers;581.79;6.3
INT-004978;CLI-097043;Modification puissance;2025-05-15;0.54;Terminée;TECH-008;Châtellerault;167.03;7.9
INT-004979;CLI-097642;Mise en service;2025-01-21;1.48;Terminée;TECH-037;Châtellerault;329.25;7.8
INT-004980;CLI-099968;Maintenance préventive;2022-06-20;1.02;Terminée;TECH-001;Poitiers;721.54;10.0
INT-004981;CLI-094658;Rétablissement;2022-08-18;0.78;Terminée;TECH-001;Chasseneuil-du-Poitou;547.59;5.0
INT-004982;CLI-089060;Changement compteur;2023-04-04;0.78;Terminée;TECH-011;Montmorillon;697.26;8.9
INT-004983;CLI-095905;Dépannage réseau;2023-08-08;4.91;Terminée;TECH-002;Chauvigny;240.68;7.9
INT-004984;CLI-097109;Relève compteur;2025-01-13;0.98;Terminée;TECH-007;Neuville-de-Poitou;205.32;4.3
INT-004985;CLI-093070;Coupure impayé;2022-01-02;1.24;Terminée;TECH-008;Poitiers;220.6;6.5
INT-004986;CLI-095106;Relève compteur;2024-09-27;0.88;Terminée;TECH-036;Chauvigny;138.56;7.2
INT-004987;CLI-092767;Dépannage réseau;2023-08-20;1.2;Planifiée;TECH-012;Chasseneuil-du-Poitou;182.56;8.8
INT-004988;CLI-096975;Relève compteur;2024-05-08;0.87;Terminée;TECH-016;Poitiers;127.35;6.2
INT-004989;CLI-098022;Mise en service;2024-07-07;0.61;En cours;TECH-014;Châtellerault;416.76;8.6
INT-004990;CLI-093425;Relève compteur;2024-10-05;0.68;Terminée;TECH-033;Poitiers;211.15;7.7
INT-004991;CLI-093283;Raccordement neuf;2023-08-16;2.07;Terminée;TECH-043;Poitiers;585.63;9.0
INT-004992;CLI-093202;Mise en service;2023-11-01;1.19;Terminée;TECH-033;Châtellerault;101.1;6.1
INT-004993;CLI-087603;Rétablissement;2024-11-11;2.41;Terminée;TECH-014;Saint-Benoît;421.11;5.1
INT-004994;CLI-087940;Relève compteur;2023-12-18;0.28;Terminée;TECH-003;Châtellerault;51.87;4.8
INT-004995;CLI-096436;Dépannage réseau;2024-08-30;4.77;Terminée;TECH-027;Poitiers;505.71;8.0
INT-004996;CLI-097400;Changement compteur;2023-11-21;0.94;Terminée;TECH-035;Poitiers;702.46;9.6
INT-004997;CLI-096228;Relève compteur;2023-05-28;0.91;Terminée;TECH-003;Civray;243.51;6.7
INT-004998;CLI-094942;Changement compteur;2023-09-12;1.77;Planifiée;TECH-020;Châtellerault;196.1;8.5
INT-004999;CLI-099292;Contrôle technique;2023-09-19;0.37;Terminée;TECH-029;Châtellerault;354.37;7.6
INT-005000;CLI-097889;Mise en service;2024-08-07;0.99;Terminée;TECH-031;Poitiers;211.29;8.2
INT-005001;CLI-095942;Changement compteur;2025-04-08;1.73;Terminée;TECH-040;Buxerolles;545.19;7.3
INT-005002;CLI-089155;Mise en service;2025-04-05;1.47;Terminée;TECH-018;Loudun;456.47;9.0
INT-005003;CLI-095016;Changement compteur;2023-06-18;0.75;Terminée;TECH-028;Poitiers;202.91;4.5
INT-005004;CLI-097411;Mise en service;2025-01-15;1.05;Terminée;TECH-035;Poitiers;617.68;5.1
INT-005005;CLI-096811;Contrôle technique;2024-11-09;2.0;En cours;TECH-003;Poitiers;323.14;6.5
INT-005006;CLI-088473;Mise en service;2023-05-01;0.69;Terminée;TECH-024;Poitiers;541.31;7.4
INT-005007;CLI-086034;Dépannage réseau;2024-03-28;4.3;Terminée;TECH-039;Chasseneuil-du-Poitou;751.97;8.1
INT-005008;CLI-097854;Relève compteur;2025-01-06;0.76;Planifiée;TECH-004;Chauvigny;602.63;10.0
INT-005009;CLI-090561;Mise en service;2023-02-28;0.57;Terminée;TECH-044;Poitiers;172.23;10.0
INT-005010;CLI-099570;Raccordement neuf;2023-11-10;4.44;Terminée;TECH-035;Civray;228.36;7.0
INT-005011;CLI-093272;Mise en service;2025-01-04;1.27;Terminée;TECH-032;Poitiers;231.76;10.0
INT-005012;CLI-100925;Contrôle technique;2025-05-23;2.41;Planifiée;TECH-025;Poitiers;43.38;7.9
INT-005013;CLI-088226;Coupure impayé;2023-11-21;1.95;Terminée;TECH-032;Poitiers;268.91;9.7
INT-005014;CLI-095293;Modification puissance;2024-06-08;0.52;Planifiée;TECH-026;Poitiers;133.81;5.1
INT-005015;CLI-092012;Modification puissance;2022-07-16;0.9;Terminée;TECH-037;Poitiers;405.56;5.3
INT-005016;CLI-093301;Relève compteur;2022-09-11;1.12;Terminée;TECH-013;Montmorillon;318.56;7.7
INT-005017;CLI-095319;Modification puissance;2022-06-01;0.74;Terminée;TECH-039;Chasseneuil-du-Poitou;648.86;7.9
INT-005018;CLI-095709;Relève compteur;2022-10-17;0.41;Terminée;TECH-040;Châtellerault;137.15;10.0
INT-005019;CLI-087799;Rétablissement;2023-11-15;1.02;En cours;TECH-005;Poitiers;199.37;6.8
INT-005020;CLI-095844;Mise en service;2022-03-03;1.08;Terminée;TECH-015;Poitiers;171.4;9.9
INT-005021;CLI-099879;Relève compteur;2025-05-13;0.78;Planifiée;TECH-020;Buxerolles;165.46;7.7
INT-005022;CLI-094685;Dépannage réseau;2024-06-29;5.38;Terminée;TECH-038;Lusignan;533.83;6.7
INT-005023;CLI-090757;Maintenance préventive;2023-11-02;0.94;Terminée;TECH-017;Poitiers;187.56;6.5
INT-005024;CLI-096857;Contrôle technique;2023-04-14;1.83;Planifiée;TECH-027;Migné-Auxances;246.9;5.8
INT-005025;CLI-091370;Coupure impayé;2024-04-25;1.33;Terminée;TECH-001;Vivonne;281.83;10.0
INT-005026;CLI-092659;Maintenance préventive;2023-02-08;1.23;Terminée;TECH-002;Poitiers;586.51;10.0
INT-005027;CLI-089201;Rétablissement;2024-12-18;2.45;Terminée;TECH-017;Jaunay-Marigny;515.35;5.4
INT-005028;CLI-093956;Maintenance préventive;2025-03-07;2.73;Terminée;TECH-044;Poitiers;178.98;7.8
INT-005029;CLI-091267;Modification puissance;2022-03-24;0.63;Terminée;TECH-015;Châtellerault;707.72;5.3
INT-005030;CLI-087753;Modification puissance;2024-11-09;1.43;Terminée;TECH-041;Jaunay-Marigny;725.25;8.5
INT-005031;CLI-093791;Mise en service;2022-03-31;1.46;Terminée;TECH-013;Neuville-de-Poitou;256.65;8.3
INT-005032;CLI-092085;Dépannage réseau;2024-10-19;2.72;Terminée;TECH-019;Châtellerault;717.72;7.2
INT-005033;CLI-092187;Contrôle technique;2024-08-06;0.43;Terminée;TECH-008;Chauvigny;518.18;5.3
INT-005034;CLI-090262;Changement compteur;2023-05-21;1.25;Terminée;TECH-011;Chasseneuil-du-Poitou;178.39;7.5
INT-005035;CLI-092349;Relève compteur;2022-08-02;0.43;Terminée;TECH-004;Chauvigny;517.35;7.3
INT-005036;CLI-086977;Mise en service;2024-05-05;1.37;Terminée;TECH-023;Poitiers;80.44;9.0
INT-005037;CLI-093710;Mise en service;2024-12-21;1.02;Terminée;TECH-032;Saint-Benoît;387.48;10.0
INT-005038;CLI-086357;Changement compteur;2025-02-10;1.01;Terminée;TECH-002;Mignaloux-Beauvoir;300.42;7.1
INT-005039;CLI-093301;Relève compteur;2025-02-03;1.01;Planifiée;TECH-006;Migné-Auxances;186.61;10.0
INT-005040;CLI-090686;Modification puissance;2024-12-29;0.64;Terminée;TECH-017;Poitiers;221.99;7.9
INT-005041;CLI-095338;Relève compteur;2025-04-04;0.28;Terminée;TECH-043;Poitiers;466.93;8.6
INT-005042;CLI-100453;Relève compteur;2022-05-15;1.43;Terminée;TECH-025;Loudun;227.7;9.2
INT-005043;CLI-086066;Dépannage réseau;2024-10-04;1.97;Terminée;TECH-010;Châtellerault;522.69;7.1
INT-005044;CLI-091141;Dépannage réseau;2023-05-15;1.4;Terminée;TECH-010;Châtellerault;736.57;6.3
INT-005045;CLI-093646;Raccordement neuf;2023-08-03;3.1;En cours;TECH-041;Poitiers;303.38;7.9
INT-005046;CLI-095511;Changement compteur;2022-10-30;0.95;Terminée;TECH-031;Poitiers;498.8;6.2
INT-005047;CLI-090258;Modification puissance;2022-07-20;0.35;Annulée;TECH-002;Neuville-de-Poitou;429.74;5.0
INT-005048;CLI-088887;Relève compteur;2022-08-02;1.26;Terminée;TECH-029;Poitiers;256.17;7.7
INT-005049;CLI-090978;Contrôle technique;2022-02-02;0.41;Terminée;TECH-044;Vivonne;723.63;7.8
INT-005050;CLI-100804;Dépannage réseau;2024-09-01;2.36;Terminée;TECH-009;Poitiers;238.73;7.1
INT-005051;CLI-088902;Relève compteur;2024-01-28;1.02;Planifiée;TECH-024;Poitiers;784.73;10.0
INT-005052;CLI-089526;Mise en service;2023-06-29;1.34;Annulée;TECH-031;Chasseneuil-du-Poitou;76.19;10.0
INT-005053;CLI-096628;Maintenance préventive;2024-09-04;2.46;Terminée;TECH-017;Migné-Auxances;637.19;8.2
INT-005054;CLI-091060;Rétablissement;2024-07-26;0.9;Terminée;TECH-016;Châtellerault;656.72;7.6
INT-005055;CLI-090453;Dépannage réseau;2024-09-17;4.71;Terminée;TECH-011;Chauvigny;71.26;10.0
INT-005056;CLI-095990;Relève compteur;2023-06-25;0.35;Terminée;TECH-039;Loudun;750.47;7.3
INT-005057;CLI-097962;Contrôle technique;2024-03-30;1.1;Terminée;TECH-029;Poitiers;540.93;7.1
INT-005058;CLI-097414;Relève compteur;2022-02-18;0.89;Planifiée;TECH-001;Poitiers;339.82;10.0
INT-005059;CLI-093802;Contrôle technique;2024-12-14;1.9;Terminée;TECH-030;Poitiers;53.34;5.0
INT-005060;CLI-098241;Relève compteur;2023-12-09;0.28;Planifiée;TECH-032;Poitiers;260.42;8.7
INT-005061;CLI-091359;Changement compteur;2023-06-16;0.58;En cours;TECH-023;Vivonne;603.31;7.1
INT-005062;CLI-098083;Modification puissance;2024-09-29;0.43;Terminée;TECH-040;Neuville-de-Poitou;211.67;9.2
INT-005063;CLI-092123;Contrôle technique;2024-02-15;2.94;Annulée;TECH-032;Poitiers;76.94;8.2
INT-005064;CLI-094642;Mise en service;2023-06-16;0.68;Terminée;TECH-016;Poitiers;401.91;3.9
INT-005065;CLI-100621;Modification puissance;2023-07-17;1.19;Terminée;TECH-012;Châtellerault;143.97;8.2
INT-005066;CLI-090649;Relève compteur;2023-05-26;0.52;Terminée;TECH-043;Châtellerault;55.42;6.7
INT-005067;CLI-100650;Maintenance préventive;2024-11-03;0.95;Terminée;TECH-011;Saint-Benoît;128.07;7.0
INT-005068;CLI-093844;Dépannage réseau;2022-12-17;3.2;Terminée;TECH-028;Châtellerault;486.32;7.7
INT-005069;CLI-097935;Mise en service;2024-08-13;0.99;Terminée;TECH-037;Buxerolles;659.84;7.9
INT-005070;CLI-087840;Mise en service;2023-03-06;1.23;Terminée;TECH-006;Poitiers;428.13;7.0
INT-005071;CLI-088867;Rétablissement;2025-04-30;1.32;En cours;TECH-015;Loudun;620.03;8.0
INT-005072;CLI-091276;Mise en service;2024-06-07;1.49;Terminée;TECH-005;Jaunay-Marigny;789.57;10.0
INT-005073;CLI-092841;Contrôle technique;2024-11-04;2.31;Terminée;TECH-032;Montmorillon;439.88;4.0
INT-005074;CLI-086775;Changement compteur;2024-10-10;1.28;Annulée;TECH-008;Chasseneuil-du-Poitou;641.38;6.7
INT-005075;CLI-088273;Dépannage réseau;2023-12-26;3.14;Annulée;TECH-001;Châtellerault;280.48;3.5
INT-005076;CLI-093530;Changement compteur;2023-06-05;1.91;Terminée;TECH-008;Jaunay-Marigny;490.22;6.5
INT-005077;CLI-086739;Mise en service;2023-02-20;1.29;Planifiée;TECH-008;Poitiers;131.58;7.3
INT-005078;CLI-090029;Modification puissance;2023-05-19;0.77;Terminée;TECH-026;Saint-Benoît;692.65;8.8
INT-005079;CLI-099822;Contrôle technique;2023-09-07;1.09;Terminée;TECH-027;Poitiers;795.7;5.6
INT-005080;CLI-098648;Relève compteur;2023-01-10;1.37;Planifiée;TECH-008;Migné-Auxances;226.16;5.0
INT-005081;CLI-090630;Changement compteur;2024-04-19;1.12;Terminée;TECH-043;Loudun;685.59;4.2
INT-005082;CLI-086812;Raccordement neuf;2025-03-20;2.8;Terminée;TECH-019;Jaunay-Marigny;248.48;6.1
INT-005083;CLI-088289;Dépannage réseau;2023-10-27;5.35;Terminée;TECH-001;Châtellerault;182.5;8.6
INT-005084;CLI-090883;Coupure impayé;2025-05-07;1.84;Terminée;TECH-044;Poitiers;622.16;8.6
INT-005085;CLI-091324;Contrôle technique;2024-01-23;1.38;Terminée;TECH-001;Poitiers;580.87;9.1
INT-005086;CLI-093720;Contrôle technique;2023-07-07;1.91;Terminée;TECH-039;Poitiers;525.92;9.4
INT-005087;CLI-089796;Coupure impayé;2023-08-11;2.65;Planifiée;TECH-031;Jaunay-Marigny;343.28;6.5
INT-005088;CLI-094155;Raccordement neuf;2024-07-11;2.6;Terminée;TECH-040;Montmorillon;379.45;9.2
INT-005089;CLI-099816;Changement compteur;2023-10-24;1.18;Terminée;TECH-030;Buxerolles;670.19;7.0
INT-005090;CLI-092690;Changement compteur;2025-03-20;1.97;Terminée;TECH-005;Montmorillon;434.65;10.0
INT-005091;CLI-092317;Dépannage réseau;2023-03-29;1.5;Terminée;TECH-025;Jaunay-Marigny;235.77;7.5
INT-005092;CLI-089555;Modification puissance;2022-12-13;0.44;Terminée;TECH-001;Vivonne;713.08;7.7
INT-005093;CLI-092032;Relève compteur;2022-02-25;1.07;Terminée;TECH-032;Poitiers;450.56;10.0
INT-005094;CLI-099668;Coupure impayé;2022-12-16;2.65;Terminée;TECH-021;Poitiers;102.32;10.0
INT-005095;CLI-094904;Coupure impayé;2024-07-17;2.49;Terminée;TECH-022;Poitiers;254.39;10.0
INT-005096;CLI-089090;Contrôle technique;2023-03-13;0.94;En cours;TECH-041;Poitiers;293.79;5.8
INT-005097;CLI-097272;Dépannage réseau;2022-01-23;4.1;Planifiée;TECH-010;Châtellerault;622.95;6.8
INT-005098;CLI-090191;Modification puissance;2022-03-07;1.48;Terminée;TECH-001;Châtellerault;660.68;6.2
INT-005099;CLI-095087;Mise en service;2022-04-28;0.53;Terminée;TECH-042;Chasseneuil-du-Poitou;185.61;5.6
INT-005100;CLI-086281;Dépannage réseau;2022-09-13;1.91;Terminée;TECH-014;Poitiers;359.12;6.7
INT-005101;CLI-089226;Mise en service;2025-01-28;0.79;Terminée;TECH-043;Poitiers;431.47;7.4
INT-005102;CLI-089998;Mise en service;2024-07-07;1.11;Planifiée;TECH-032;Montmorillon;207.06;8.9
INT-005103;CLI-093331;Dépannage réseau;2022-07-19;3.71;Terminée;TECH-027;Poitiers;570.33;10.0
INT-005104;CLI-096353;Dépannage réseau;2024-08-14;3.12;Terminée;TECH-035;Chauvigny;232.32;9.1
INT-005105;CLI-096614;Relève compteur;2024-10-11;0.39;Terminée;TECH-043;Loudun;493.3;10.0
INT-005106;CLI-089321;Mise en service;2023-07-24;0.75;Terminée;TECH-003;Poitiers;780.05;5.7
INT-005107;CLI-089414;Relève compteur;2022-06-22;1.37;Terminée;TECH-007;Poitiers;669.78;8.4
INT-005108;CLI-094928;Mise en service;2022-07-13;0.8;Terminée;TECH-042;Chauvigny;438.21;7.6
INT-005109;CLI-097952;Contrôle technique;2023-03-30;2.81;Terminée;TECH-031;Buxerolles;69.4;5.6
INT-005110;CLI-100287;Mise en service;2024-07-04;0.42;Planifiée;TECH-012;Loudun;773.17;7.9
INT-005111;CLI-100169;Raccordement neuf;2023-02-19;2.04;En cours;TECH-015;Jaunay-Marigny;326.92;8.7
INT-005112;CLI-098843;Contrôle technique;2025-01-22;1.74;Terminée;TECH-020;Mignaloux-Beauvoir;182.31;10.0
INT-005113;CLI-090741;Contrôle technique;2023-03-14;2.21;Terminée;TECH-008;Chauvigny;328.25;7.7
INT-005114;CLI-089029;Maintenance préventive;2023-01-20;1.89;Terminée;TECH-001;Poitiers;621.13;7.2
